"Time" "GATdat80.x" "GATdat80.y" "GATdat20.x" "GATdat20.y" "GAT20" "GAT80" "MAT" "CMT" "SST20" "SST80"
"9474" 25.28 25.28 17.717934685143 25.28 17.6410116933186 15.3049537961229 15.3867156036751 9.70651800613566 -1.48882982828571 18.9394281423118 18.988455027899
"9475" 25.284 25.284 17.7167606217862 25.284 17.6405925817488 15.3048743949396 15.3857744635424 9.70611120523065 -1.48926913766969 18.9391801155646 18.9873507850234
"9476" 25.286 25.286 17.7161713622706 25.286 17.6403829573512 15.3048346177185 15.3853016569152 9.70590545672148 -1.48949100927905 18.9390560431016 18.9867964597932
"9477" 25.29 25.29 17.7149882961366 25.29 17.6399635731154 15.3047549118261 15.3843514791393 9.70548917215877 -1.4899392777605 18.9388077817868 18.9856833103235
"9478" 25.292 25.292 17.7143944529469 25.292 17.6397538139913 15.3047149838783 15.3838740714308 9.70527859953282 -1.4901657112038 18.9386835936509 18.9851244495144
"9479" 25.296 25.296 17.7132020548934 25.296 17.6393341635161 15.3046349797884 15.3829145269727 9.70485250216068 -1.49062326792355 18.9384351042121 18.9840020643232
"9480" 25.298 25.298 17.7126034634583 25.298 17.6391242728791 15.3045949043697 15.3824323536634 9.70463694084208 -1.4908544277712 18.9383108036252 18.9834385033715
"9481" 25.302 25.302 17.7114014043429 25.302 17.6387043625911 15.3045146085937 15.3814631134842 9.70420070150879 -1.49132160187006 18.9380620925062 18.9823065533312
"9482" 25.304 25.304 17.7107979000912 25.304 17.6384943436543 15.3044743889598 15.3809760100546 9.70397998692167 -1.49155765269247 18.9379376826901 18.981738127673
"9483" 25.308 25.308 17.7095858507714 25.308 17.6380741799801 15.3043938080093 15.3799967451154 9.70353327647549 -1.49203477331125 18.9376887563345 18.9805962836562
"9484" 25.312 25.312 17.7083669584584 25.312 17.6376538509522 15.3043130405599 15.3790106142035 9.7030794024253 -1.49251870779933 18.9374396900678 18.9794476608064
"9485" 25.314 25.314 17.7077549004653 25.314 17.6374436253232 15.3042725878026 15.3785149283079 9.70284973333319 -1.49276327595835 18.9373151053626 18.9788707616071
"9486" 25.318 25.318 17.7065254693773 25.318 17.6370230536201 15.3041915460312 15.3775182242376 9.70238483958391 -1.49325770553437 18.9370658345988 18.977711696235
"9487" 25.324 25.324 17.7046677607055 25.324 17.6363919003086 15.3040696481588 15.3760095632356 9.70167333575419 -1.49401285732737 18.9366916804389 18.9759596564707
"9488" 25.328 25.328 17.7034200335647 25.328 17.6359709384284 15.3039881636542 15.374994506037 9.70118934439144 -1.4945255101407 18.9364420831661 18.9747824555005
"9489" 25.33 25.33 17.7027933387294 25.33 17.6357604006576 15.3039473567101 15.3744841376388 9.70094439720856 -1.49478465688956 18.9363172372537 18.9741910478225
"9490" 25.334 25.334 17.7015341951004 25.334 17.6353392132399 15.3038656152474 15.3734576298446 9.70044850840876 -1.49530868249967 18.936067452667 18.9730025266568
"9491" 25.338 25.338 17.7002672576224 25.338 17.6349178790342 15.3037837060968 15.3724233055206 9.69994450512218 -1.49584047283033 18.9358175467842 18.9718062758456
"9492" 25.34 25.34 17.6996308204758 25.34 17.6347071577784 15.303742689543 15.3719031664599 9.69968941483083 -1.49610932547986 18.9356925492517 18.9712052061108
"9493" 25.344 25.344 17.6983519179388 25.344 17.6342856087463 15.3036605342869 15.3708568431418 9.69917296552098 -1.49665303717535 18.9354424667946 18.9699970865586
"9494" 25.348 25.348 17.697064855839 25.348 17.6338639200668 15.3035782185779 15.3698023376949 9.69864803600022 -1.49720487930339 18.9351922702012 18.9687808716637
"9495" 25.35 25.35 17.6964182192388 25.35 17.633653024252 15.3035370014579 15.3692719709732 9.69838234544522 -1.49748389499363 18.9350671299983 18.9681696827507
"9496" 25.354 25.354 17.6951186435094 25.354 17.6332311314571 15.3034544504958 15.3682049181338 9.69784442131497 -1.49804820705452 18.93481676757 18.9669410505693
"9497" 25.358 25.358 17.6938105918854 25.358 17.6328091062716 15.3033717464317 15.3671293669485 9.69729770063167 -1.49862096587798 18.934566298281 18.9657040067302
"9498" 25.362 25.362 17.6924941649912 25.362 17.6323869521313 15.3032888927393 15.366045418088 9.69674228401576 -1.49920207083873 18.9343157255749 18.9644586518649
"9499" 25.364 25.364 17.6918328576949 25.364 17.6321758278131 15.3032474109042 15.3655003414209 9.69646136160882 -1.49949570624331 18.9341904015527 18.9638329046765
"9500" 25.368 25.368 17.690504149158 25.368 17.6317534869006 15.3031643394997 15.3644040773958 9.69589318234854 -1.50008904914632 18.9339396803947 18.9625753645467
