Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
49700	-452.652793314168	3	2	1
49800	-453.987136230065	2	3	1
49900	-451.921409483717	3	4	0
50000	-453.844771559326	3	2	1
50100	-455.67558579166	3	2	4
50200	-454.742161321874	4	2	2
50300	-446.86168295039	3	2	1
50400	-446.659228066809	3	2	1
50500	-447.849327510534	5	2	1
50600	-450.791364651486	4	3	1
50700	-447.30363347229	4	2	1
50800	-441.7430914304	3	1	1
50900	-448.837982750023	3	2	1
51000	-441.98633331371	3	1	1
51100	-441.056146583517	3	2	1
51200	-445.142823522375	3	1	1
51300	-446.015096213326	4	3	2
51400	-450.172342653514	3	2	1
51500	-455.112189594425	3	2	1
51600	-453.712904242711	4	3	2
51700	-459.67195869558	4	2	3
51800	-455.429956999057	3	2	2
51900	-448.149209801207	2	2	3
52000	-446.080393990508	2	2	3
52100	-448.57723824119	2	4	3
52200	-451.684495009244	3	4	2
52300	-451.444306427617	5	2	2
52400	-439.540074383996	3	1	1
52500	-447.110591369793	3	2	2
52600	-448.181851452913	3	2	5
52700	-447.351416725057	4	1	3
52800	-447.042490266472	3	1	2
52900	-454.999287433972	4	4	3
53000	-476.626833431849	7	2	4
53100	-447.314220091072	4	5	0
53200	-441.693949336221	4	2	0
53300	-447.029464399955	5	1	0
53400	-446.779516613419	5	1	1
53500	-443.429685179838	4	1	0
53600	-453.383620139829	4	2	2
53700	-445.513844087074	4	3	1
53800	-452.789485579265	3	4	0
53900	-451.082097429926	3	2	1
54000	-445.971966611787	3	2	1
54100	-446.239761191779	3	3	0
54200	-457.59147018007	3	1	5
54300	-452.805650548863	2	1	1
54400	-456.125244984576	3	3	1
54500	-451.914491462105	2	2	3
54600	-448.676842791552	2	4	3
54700	-455.947966399516	3	3	2
54800	-445.451321307214	2	2	2
54900	-449.535485121829	2	2	1
55000	-455.468534329218	6	4	1
55100	-447.654376832464	3	2	2
55200	-448.159898734093	4	1	3
55300	-454.180473028593	4	2	3
55400	-453.481602194289	3	2	3
55500	-453.324213992367	4	2	2
55600	-447.379646963633	3	2	2
55700	-450.906405362716	3	4	1
55800	-455.884551581265	5	1	3
55900	-444.741114794205	3	3	2
56000	-443.213763398733	3	1	2
56100	-445.63846259529	4	1	1
56200	-443.682119057774	3	1	1
56300	-442.705392201614	3	1	2
56400	-457.337989202515	3	4	3
56500	-446.416263710761	3	1	2
56600	-444.81054331329	4	3	1
56700	-442.777086351456	3	1	1
56800	-449.444667938197	4	1	2
56900	-443.569432395628	3	2	2
57000	-445.01755026628	3	3	1
57100	-442.512159598252	3	1	1
57200	-443.256804303518	3	2	2
57300	-454.369332099797	5	1	1
57400	-446.237957285477	4	1	2
57500	-452.521258887931	4	2	2
57600	-455.007800237865	5	2	1
57700	-451.300172188849	3	1	4
57800	-445.077579624271	3	2	2
57900	-452.03806589896	4	1	4
58000	-442.192791730501	3	1	2
58100	-444.792264232117	3	2	2
58200	-449.270705188945	3	1	3
58300	-450.075106171639	4	3	2
58400	-450.605254066803	4	2	1
58500	-448.434032783748	3	1	2
58600	-445.200905750862	3	2	2
58700	-454.788212810949	5	1	2
58800	-447.651645167651	4	2	1
58900	-449.374154275944	3	2	1
59000	-440.842549696552	3	1	1
59100	-452.403509313161	4	1	2
59200	-448.15393092537	3	1	1
59300	-448.748296524461	4	4	1
59400	-448.833183890261	4	3	2
59500	-447.742582097093	3	2	3
59600	-453.941474728539	3	3	2
59700	-449.343500262247	3	1	2
59800	-449.76208120047	3	1	3
59900	-453.550550402639	3	3	3
60000	-451.368442934808	3	1	5
60100	-442.27315568039	3	2	2
60200	-445.862155240718	3	4	2
60300	-456.073502541425	5	4	2
60400	-453.422581738055	5	2	1
60500	-443.654264473369	5	3	0
60600	-450.637534388716	5	1	1
60700	-446.80457173686	4	1	0
60800	-461.475093894486	3	4	2
60900	-457.309409230974	4	1	2
61000	-448.855366791304	4	2	1
61100	-455.924482684601	3	4	2
61200	-439.448002191795	3	3	1
61300	-446.929686965531	4	1	2
61400	-456.40018719292	5	3	1
61500	-454.941351412099	4	3	1
61600	-449.580976206916	3	3	1
61700	-448.03197999234	4	2	2
61800	-450.703424099085	3	2	1
61900	-450.669812012683	4	1	2
62000	-450.676762628082	3	1	3
62100	-445.651894603497	4	1	2
62200	-446.024567545731	3	1	1
62300	-447.345904907136	4	1	1
62400	-451.653198612118	3	1	2
62500	-451.961546338053	3	1	3
62600	-440.965695832432	3	2	1
62700	-446.764471003624	3	1	2
62800	-444.43613737917	4	1	1
62900	-448.287551224041	3	3	2
63000	-444.369881623037	3	1	1
63100	-449.566037098865	4	3	2
63200	-457.857020508516	4	1	3
63300	-466.209399097651	7	1	4
63400	-444.557047217448	4	2	1
63500	-444.948085498498	4	1	1
63600	-454.590527073425	4	1	2
63700	-446.894752098897	4	1	1
63800	-443.739973117843	4	1	1
63900	-446.400763086447	3	2	1
64000	-442.598977852399	4	2	1
64100	-453.339906050078	4	1	2
64200	-449.236375133115	3	1	3
64300	-444.336441022405	3	1	2
64400	-457.421683524763	4	4	2
64500	-447.701399057876	3	2	1
64600	-445.559152903867	3	3	1
64700	-447.119786149542	3	1	1
64800	-445.71715973269	3	1	2
64900	-449.405372495861	4	2	2
65000	-448.218591881491	4	2	1
65100	-442.623647142967	3	1	2
65200	-452.290431725246	3	2	3
65300	-448.802445914054	4	1	2
65400	-445.451448271857	3	2	3
65500	-444.711999340005	4	2	2
65600	-448.810274165699	3	1	4
65700	-444.033468157433	3	2	2
65800	-447.908216032993	5	2	2
65900	-447.449158712193	3	2	3
66000	-448.925764118691	3	2	3
66100	-450.888539638282	3	2	2
66200	-452.206828101434	4	1	2
66300	-445.968125015555	3	1	1
66400	-453.621330287627	4	1	1
66500	-444.453155590011	3	4	1
66600	-448.90169811944	5	1	1
66700	-448.327058245074	3	1	2
66800	-447.228753772695	3	1	2
66900	-441.911917764759	3	2	2
67000	-444.081535850377	3	3	2
67100	-452.031081384151	4	2	3
67200	-447.720941868905	4	1	1
67300	-450.165574290496	4	3	2
67400	-454.807481197528	4	2	2
67500	-448.998863342392	4	2	3
67600	-442.397231421618	3	1	2
67700	-448.495095914501	3	1	2
67800	-449.824161232541	3	1	2
67900	-448.150680535115	4	2	4
68000	-449.846696841618	4	1	3
68100	-450.653004000987	4	1	2
68200	-453.914034408613	3	2	2
68300	-444.659197304913	3	1	3
68400	-441.371221322455	3	3	2
68500	-447.973286238573	3	2	3
68600	-448.614817798634	3	2	3
68700	-449.84587274261	3	1	4
68800	-453.189134856893	5	4	3
68900	-445.951384447319	4	1	2
69000	-448.963421641036	4	2	2
69100	-446.852037368903	3	1	1
69200	-456.658141660485	4	2	1
69300	-449.16652953288	4	4	1
69400	-452.578852830539	3	4	1
69500	-446.612488995065	3	1	1
69600	-449.718117692546	4	2	2
69700	-455.796353369795	4	2	3
69800	-449.650400176545	3	1	1
69900	-448.005092285704	4	2	2
70000	-454.013705275205	4	2	3
70100	-448.136181278521	4	1	1
70200	-441.505484362397	3	1	1
70300	-437.984444109496	3	2	1
70400	-444.255301922295	4	1	1
70500	-449.308735654174	3	2	4
70600	-457.401992982389	3	2	6
70700	-445.429978194508	4	2	2
70800	-459.311888815312	5	1	3
70900	-459.391092517806	3	5	3
71000	-444.892057712337	3	3	3
